Configuration,Geo_Mean,dhrystone.trace,coremark.trace,microbench.trace,rthread.trace,MC.trace,MC_1024.trace,MC_2048.trace,MC_8192.trace,gemm.trace,conv_stride.trace,conv_block.trace
ways8_line64_random,0.2490%,0.03%,0.06%,0.28%,0.45%,0.46%,0.34%,0.40%,0.81%,0.16%,0.40%,0.31%
ways4_line64_random,0.3434%,0.03%,0.06%,0.27%,0.45%,1.45%,0.34%,1.23%,2.90%,0.16%,0.41%,0.31%
ways2_line64_random,0.3622%,0.04%,0.06%,0.28%,0.45%,1.63%,0.34%,1.26%,3.28%,0.16%,0.41%,0.31%
ways2_line64_fifo,0.3668%,0.03%,0.06%,0.29%,0.45%,1.64%,0.45%,1.39%,3.30%,0.16%,0.41%,0.31%
ways2_line64_lru,0.3686%,0.03%,0.06%,0.28%,0.45%,1.64%,0.45%,1.39%,3.29%,0.16%,0.45%,0.31%
ways2_line64_plru,0.3686%,0.03%,0.06%,0.28%,0.45%,1.64%,0.45%,1.39%,3.29%,0.16%,0.45%,0.31%
ways4_line64_fifo,0.3851%,0.03%,0.06%,0.31%,0.45%,1.64%,0.67%,1.39%,3.30%,0.16%,0.44%,0.31%
ways4_line64_lru,0.3888%,0.03%,0.06%,0.31%,0.45%,1.64%,0.67%,1.39%,3.29%,0.16%,0.49%,0.31%
ways8_line32_random,0.4061%,0.06%,0.10%,0.51%,0.90%,0.57%,0.46%,0.52%,0.92%,0.32%,0.80%,0.56%
ways8_line64_fifo,0.4106%,0.03%,0.06%,0.33%,0.45%,1.64%,1.12%,1.39%,3.30%,0.16%,0.50%,0.31%
ways8_line64_lru,0.4108%,0.03%,0.06%,0.32%,0.45%,1.64%,1.12%,1.39%,3.29%,0.16%,0.52%,0.31%
ways4_line32_random,0.5399%,0.06%,0.10%,0.51%,0.90%,1.56%,0.45%,1.35%,3.00%,0.32%,0.81%,0.56%
ways2_line32_random,0.5555%,0.06%,0.10%,0.52%,0.90%,1.75%,0.46%,1.38%,3.39%,0.32%,0.82%,0.56%
ways2_line32_fifo,0.5729%,0.06%,0.10%,0.54%,0.90%,1.76%,0.57%,1.51%,3.40%,0.32%,0.81%,0.56%
ways2_line32_lru,0.5767%,0.06%,0.10%,0.53%,0.90%,1.75%,0.57%,1.50%,3.40%,0.32%,0.90%,0.56%
ways2_line32_plru,0.5767%,0.06%,0.10%,0.53%,0.90%,1.75%,0.57%,1.50%,3.40%,0.32%,0.90%,0.56%
ways4_line64_plru,0.5788%,0.04%,0.06%,3.95%,0.92%,1.47%,0.89%,1.25%,2.94%,0.20%,0.94%,0.31%
