Configuration,Geo_Mean_MPKI,Trimmed_Geo_Mean_MPKI,dhrystone.trace,coremark.trace,microbench.trace,rthread.trace,MC.trace,MC_1024.trace,MC_2048.trace,MC_8192.trace,gemm.trace,conv_stride.trace,conv_block.trace
ways8_line64_mru,2.5463,2.7874,0.3498,0.5527,2.9097,4.4984,4.6120,3.5425,4.0942,8.2111,1.6273,4.1419,3.1139
ways8_line64_rrip,2.8323,3.0524,0.3498,0.5527,2.9097,4.4946,6.2461,4.5117,5.4160,11.6964,1.6273,4.1139,3.1139
ways4_line64_mru,3.3362,3.4693,0.3498,0.5527,3.0996,4.4851,11.3763,3.5425,9.7420,22.3793,1.6273,4.7624,3.1139
ways2_line64_mru,3.4851,3.5429,0.3533,0.5527,2.8769,4.5509,14.9244,3.6930,11.3453,29.6444,1.6273,3.8359,3.1139
ways4_line64_rrip,3.5379,3.6678,0.3498,0.5527,3.0952,4.4825,13.0103,4.5117,11.0700,25.8645,1.6273,4.7577,3.1139
ways2_line64_rrip,3.6714,3.7359,0.3498,0.5527,2.8464,4.5135,16.3846,4.5117,13.9033,32.9466,1.6273,3.8335,3.1139
ways2_line64_lru,3.7221,3.7991,0.3498,0.5527,2.8049,4.5115,16.3830,4.5074,13.9012,32.9449,1.6273,4.5308,3.1139
ways2_line64_plru,3.7221,3.7991,0.3498,0.5527,2.8049,4.5115,16.3830,4.5074,13.9012,32.9449,1.6273,4.5308,3.1139
ways4_line64_lru,3.9152,4.0414,0.3498,0.5527,3.0778,4.4808,16.3830,6.7254,13.9012,32.9449,1.6273,4.8611,3.1139
ways8_line64_lru,4.1442,4.3321,0.3498,0.5527,3.2480,4.4758,16.3830,11.1613,13.9012,32.9449,1.6273,5.1919,3.1139
ways8_line32_mru,4.1507,4.6877,0.6218,1.0315,5.4985,8.9622,5.7816,4.7132,5.2141,9.2700,3.1922,8.4257,5.6269
ways8_line32_rrip,4.5294,5.0340,0.6218,1.0315,5.5116,8.9556,7.4133,5.6846,6.5740,12.7527,3.1922,8.1944,5.6269
ways4_line32_mru,5.2697,5.6614,0.6218,1.0315,5.9285,8.9286,12.5459,4.7132,10.8452,23.4278,3.1922,9.4997,5.6269
ways2_line32_mru,5.4902,5.7727,0.6253,1.0315,5.4308,9.5337,16.1088,4.8626,12.3656,30.6847,3.1922,7.6616,5.6269
ways4_line32_rrip,5.5475,5.9361,0.6218,1.0315,5.9307,8.9261,14.1775,5.6846,12.2169,26.9104,3.1922,9.4773,5.6269
ways2_line32_rrip,5.7248,6.0109,0.6218,1.0315,5.3959,8.9645,17.5452,5.6846,15.0501,33.9856,3.1922,7.6144,5.6269
ways2_line32_lru,5.8066,6.1160,0.6218,1.0315,5.3326,8.9604,17.5431,5.6792,15.0473,33.9834,3.1922,9.0211,5.6269
ways2_line32_plru,5.8066,6.1160,0.6218,1.0315,5.3326,8.9604,17.5431,5.6792,15.0473,33.9834,3.1922,9.0211,5.6269
ways4_line64_plru,5.6928,6.2371,0.3604,0.5527,39.5394,9.1581,14.6878,8.9325,12.4777,29.3999,2.0014,9.4069,3.1139
ways4_line32_lru,6.0752,6.4636,0.6218,1.0315,5.8980,8.9223,17.5431,7.8972,15.0473,33.9834,3.1922,9.6885,5.6269
ways8_line32_lru,6.4003,6.8888,0.6218,1.0315,6.2647,8.9200,17.5431,12.3331,15.0473,33.9834,3.1922,10.3657,5.6269
ways8_line16_mru,7.1701,7.9206,1.1023,1.9889,10.6106,17.8806,8.1056,7.0145,7.5347,11.3731,6.2972,19.0379,10.5982
ways8_line16_rrip,7.5749,8.5305,1.1023,1.9889,10.6085,17.8679,9.7442,8.0217,8.8849,14.8631,6.2972,16.4573,10.5982
ways4_line32_plru,7.6529,8.6315,0.6359,1.0315,31.1793,13.6752,15.8458,10.0989,13.6210,30.4385,3.9030,12.9392,5.6269
ways4_line16_mru,8.5839,9.5537,1.1023,1.9889,11.4554,17.8136,14.8699,7.0145,13.1327,25.5101,6.2972,17.8699,10.5982
ways2_line16_mru,9.0436,9.9050,1.1023,1.9889,10.4120,18.1571,18.3903,7.1326,14.6517,32.7164,6.2972,19.0285,10.5982
ways4_line16_rrip,9.0028,9.9833,1.1023,1.9889,11.4576,17.8075,16.5085,8.0217,14.5057,29.0001,6.2972,18.9357,10.5982
ways2_line16_rrip,9.2193,10.0316,1.1023,1.9889,10.3531,17.8547,19.8629,8.0217,17.3390,36.0614,6.2972,15.1765,10.5982
ways2_line16_lru,9.3528,10.2096,1.1023,1.9889,10.2461,17.8501,19.8600,8.0141,17.3355,36.0584,6.2972,17.9930,10.5982
ways2_line16_plru,9.3528,10.2096,1.1023,1.9889,10.2461,17.8501,19.8600,8.0141,17.3355,36.0584,6.2972,17.9930,10.5982
ways4_line16_lru,9.7162,10.6965,1.1023,1.9889,11.3899,17.8019,19.8600,10.2321,17.3355,36.0584,6.2972,19.3340,10.5982
ways8_line16_lru,10.1634,11.3012,1.1023,1.9889,12.1714,17.8020,19.8600,14.6680,17.3355,36.0584,6.2972,20.7038,10.5982
ways8_line64_plru,9.6336,11.7040,0.3710,8.0938,43.3855,14.2328,14.6882,10.0426,12.4783,29.3999,5.7797,36.7309,3.1139
ways4_line16_plru,11.2286,12.6842,1.1235,1.9889,37.4679,20.6874,18.1616,12.4306,15.9071,32.5134,7.5691,22.0535,10.5982
ways8_line8_mru,12.5070,13.6293,2.0209,3.8371,19.7850,35.7175,12.7639,11.6432,12.1754,15.5897,12.4696,29.7441,20.4316
ways8_line32_plru,11.7337,14.1342,0.6465,8.6885,34.3945,18.6554,15.8463,11.2090,13.6217,30.4385,9.7450,39.8809,5.6269
ways8_line8_rrip,13.0957,14.4194,2.0209,3.8371,20.7978,35.6754,14.4033,12.6872,13.5055,19.0805,12.4696,28.1455,20.4316
ways4_line8_mru,14.1701,15.8821,2.0209,3.8371,21.1100,35.5945,19.5281,11.6432,17.7069,29.6851,12.4696,26.0683,20.4316
ways4_line8_rrip,14.9235,16.9224,2.0209,3.8371,22.4480,35.5548,21.1676,12.6872,19.0821,33.1760,12.4696,30.5016,20.4316
ways2_line8_mru,15.0152,16.9833,2.0209,3.8371,19.8592,35.8366,22.9482,11.7255,19.2287,36.8209,12.4696,32.6523,20.4316
ways2_line8_lru,15.5158,17.5060,2.0209,3.8371,20.0382,35.6201,24.4919,12.6786,21.9097,40.2062,12.4696,32.5265,20.4316
ways2_line8_plru,15.5158,17.5060,2.0209,3.8371,20.0382,35.6201,24.4919,12.6786,21.9097,40.2062,12.4696,32.5265,20.4316
ways2_line8_rrip,15.6239,17.6551,2.0209,3.8371,20.2456,35.6258,24.4952,12.6872,21.9153,40.2096,12.4696,34.7040,20.4316
ways8_line16_plru,15.2469,17.9005,1.1270,8.0790,41.1634,23.5241,18.1620,13.5406,15.9078,32.5134,17.8939,48.6712,10.5982
ways4_line8_lru,16.0667,18.2686,2.0209,3.8371,22.3345,35.5472,24.4919,14.8965,21.9097,40.2062,12.4696,36.5311,20.4316
ways8_line8_lru,16.6407,19.0695,2.0209,3.8371,23.9389,35.5506,24.4919,19.3325,21.9097,40.2062,12.4696,38.6366,20.4316
ways4_line8_plru,17.6755,19.8046,2.0562,3.8371,54.5899,38.4153,22.7922,17.0918,20.4786,36.6612,14.1530,37.5976,20.4316
ways8_line8_plru,22.3052,25.8372,2.0597,10.5614,59.8789,40.8717,22.7926,18.2018,20.4793,36.6612,31.1927,64.3349,20.4316
